,name,text,Label,reviewUrl,reviewerUrl,stars,publishAt,text_tokens
76,Sohibur Rachman,kuliner di bangkalan nyamut rassannah,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNCdWJTRnF3RRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICBubSFqwE%7CCgwI7N-4nQYQoIj7nAE%7C?hl=id,https://www.google.com/maps/contrib/102022832360820626491?hl=id,5,3 bulan lalu,kuliner bangkal nyamut rassannah
77,Ibra uraidzi,makanya enak seperti warung amboina tempo dulu,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNCdnA2X2h3RRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICBvp6_hwE%7CCgwI6YipnQYQiNaOgQE%7C?hl=id,https://www.google.com/maps/contrib/104950481084194915777?hl=id,4,3 bulan lalu,enak warung amboina tempo
78,Cia - Cia Gisella Evelyne,enak sambel nya mantap paru empal nya enak puoll,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNCbm9yUWxBRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICBnorQlAE%7CCgsIjdqmnQYQiIvZHQ%7C?hl=id,https://www.google.com/maps/contrib/102941637586098252173?hl=id,5,3 bulan lalu,enak sambel nya mantap paru empal nya enak puoll
79,Setiawati Febrianti,rasanya josss nasi campur soto babat gule kambing,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNCOXBPbWN3EAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICB9pOmcw%7CCgwIkdegnQYQoK7n1gE%7C?hl=id,https://www.google.com/maps/contrib/117126884440659788956?hl=id,4,3 bulan lalu,josss nasi campur soto babat gule kambing
80,nisa hakim,menu wajib kalo ke bangkalan enaaaakkk tempatnya baru habis renov bersih toilet bersih parkir luas harga bersahabat seporsi rebuan aja ,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR5OFBfY3dRRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDy8P_cwQE%7CCgwI1NqbnQYQwIGb2QI%7C?hl=id,https://www.google.com/maps/contrib/108813984583752470857?hl=id,5,3 bulan lalu,menu wajib kalo bangkal enaaaakkk tempat habis renov bersih toilet bersih parkir luas harga sahabat porsi rebu aja
81,Achmad Nur Hasim,rasa mantap super endez,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNHZ2RLYk1nEAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICGgdKbMg%7CCgwI4oGbnQYQwNOMxwI%7C?hl=id,https://www.google.com/maps/contrib/100031672329580578272?hl=id,5,3 bulan lalu,mantap super endez
83,ndragun,soto babatnya nampol banget,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNCcW9xX293RRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICBqoq_owE%7CCgwIztmQnQYQqKuH0QE%7C?hl=id,https://www.google.com/maps/contrib/100789458207114903169?hl=id,5,3 bulan lalu,soto babat nampol banget
84,Kurnia Yahya Putra Wardhana,wuenak bumbu khas,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQyNk5IY1F3EAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgID26NHcQw%7CCgwI__KFnQYQ-PKiowI%7C?hl=id,https://www.google.com/maps/contrib/113843054532423430410?hl=id,5,3 bulan lalu,wuenak bumbu khas
85,Taufik Sholeh,rasa maka biasa pelaya cepet suasana nyaman,Negatif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNCdFBiS2hBRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICBtPbKhAE%7CCgwIvov8nAYQ6PXkhwE%7C?hl=id,https://www.google.com/maps/contrib/109275092044449924760?hl=id,4,3 bulan lalu,pelaya cepet suasana nyaman
86,Priyo Hadi,warung legendaris sejak jaman dahulu rasa tidak berubah masih tetap mak nyuss harga relatif murah lokasi tengah kota parkir luas ,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNCMUxqdWxBRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICB1LjulAE%7CCgwIvcr6nAYQ4POktAE%7C?hl=id,https://www.google.com/maps/contrib/111119695326448946284?hl=id,5,3 bulan lalu,warung legendaris jaman ubah mak nyuss harga relatif murah lokasi kota parkir luas
87,Rizki Ardian,good food harga bersahabat,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNCbEp1b2JBEAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICBlJuobA%7CCgsImJv6nAYQ4PvoVw%7C?hl=id,https://www.google.com/maps/contrib/104304377189543616966?hl=id,5,3 bulan lalu,good food harga sahabat
91,Widam L Yudha,makanya enak disantap pas dengan suasana mendung gerimis sedang jadi syahdu ,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNCbVBUTDB3RRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICBmPTL0wE%7CCgsIsojxnAYQsJSNSw%7C?hl=id,https://www.google.com/maps/contrib/105299398016771726440?hl=id,5,4 bulan lalu,enak santap pas suasana mendung gerimis syahdu
93,Amilina Channel,rasanya mantab ruarr yassah,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQtNV9xMWJ3EAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgID-5_q1bw%7CCgwIoufXnAYQ4M-QlQE%7C?hl=id,https://www.google.com/maps/contrib/101305826798265517374?hl=id,5,4 bulan lalu,mantab ruarr yassah
94,A nonim,nyoba nasi telur petis menu terlalu sedikit tidak ada sayur an rasa sih enak,Negatif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQtaDQtaXZnRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgID-h4-ivgE%7CCgwI58TVnAYQoJy-uQI%7C?hl=id,https://www.google.com/maps/contrib/107442994557831710701?hl=id,3,4 bulan lalu,nyoba nasi telur petis menu sayur sih enak
96,Ikho Ardiansyah,makanya enak apa lagi nasi campurnya daginya empuk parunya juga empuk dan ada krispinya di pinggirnya porsinya juga gak banyak gak sedikit jadi pas paling enak es tehnya sepertinya teh racikan deh trs disana jual sinom juga yang rasanya pas enak nyegerin kebersihannya juga terjaga meja selalu di lap setelah beres makan dan langsung di ambil piring dan gelas setelah costumer pergi parkiran luas dan tempat makannya juga luas ada juga ruang makan khusus vip diatas bagi yg reservasi vip untuk acara toilet juga bersih,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQtaTR5cHdBRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgID-i4ypwAE%7CCgwImK3MnAYQuNbl-wE%7C?hl=id,https://www.google.com/maps/contrib/113075774195563982063?hl=id,5,4 bulan lalu,enak nasi campur dagi empuk paru empuk krispinya pinggir porsi gak gak pas enak es teh teh racik deh trs sana jual sinom pas enak nyegerin bersih jaga meja lap beres makan langsung ambil piring gelas costumer pergi parkir luas makan luas ruang makan khusus vip atas yg reservasi vip acara toilet bersih
97,Lintang Anggraito,full jeroan rasa enak tempat luas dan pembayaran bisa qris,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQtbzVidDJ3RRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgID-o5bt2wE%7CCgwI7JjGnAYQ6KLlggE%7C?hl=id,https://www.google.com/maps/contrib/112306475046080462459?hl=id,5,4 bulan lalu,full jeroan enak luas bayar qris
98,Efraim,mantap,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQtbzdpVXJnRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgID-o7iUrgE%7CCgsIs-rFnAYQiNK9Vg%7C?hl=id,https://www.google.com/maps/contrib/113842428431494233761?hl=id,5,4 bulan lalu,mantap
100,Yunita Ayu Kumala,makanya enak dan penyajiannya cepat lokasi strategis,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQtbmE2VWd3RRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgID-na6UgwE%7CCgwI9YbAnAYQ2ObShgE%7C?hl=id,https://www.google.com/maps/contrib/107549153454569420061?hl=id,5,4 bulan lalu,enak saji cepat lokasi strategis
101,Faiz Maulana Arsadani,mantap tempatnya bersih lebih bersih dari bebek inj y makanya enak tapi rasanya lebih ke manis empal dan paru nya gak alot es tehnya manis banget,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQtNVptbWtBRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgID-5ZmmkAE%7CCgwIvPy2nAYQ6JLduwI%7C?hl=id,https://www.google.com/maps/contrib/111318266319279877678?hl=id,5,4 bulan lalu,mantap tempat bersih bersih bebek inj enak manis empal paru nya gak alot es teh manis banget
104,Danakirti Abadi,malah gule kambing nya yg enakk,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQtNnFxdDNRRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgID-6qqt3QE%7CCgwI1q6LnAYQ2Lah7AI%7C?hl=id,https://www.google.com/maps/contrib/100334141924235165816?hl=id,4,4 bulan lalu,gule kambing nya yg enakk
105,Priyo Laksono,taste really good,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQtekszeHVnRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgID-zK3xugE%7CCgwIgvX2mwYQiJ_wmwI%7C?hl=id,https://www.google.com/maps/contrib/112971577247891329508?hl=id,5,4 bulan lalu,taste really good
106,SULAIMAN MUSA CHANNEL,rasa khas legendaris,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQtd0tpMnFnRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgID-wKi2qgE%7CCgsI6vfcmwYQgKb9XQ%7C?hl=id,https://www.google.com/maps/contrib/103646227100705548089?hl=id,5,4 bulan lalu,khas legendaris
107,Alex Iskandar,masakannya top markotop,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMtb19uSmlnRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIC-o_nJigE%7CCgwI9Ze9mwYQ-PebhgM%7C?hl=id,https://www.google.com/maps/contrib/110015801788193895039?hl=id,5,5 bulan lalu,masakan top markotop
108,Nawira Baabud,maka favorit di sini adalah nasi campurnya dengan sedikit kuah santan kentalnya rawonnya oke banget daging empalnya empuk parkir luas dan tempat makannya nyaman sudah diperluas walaupun masuk gang tempatnya cukup besar oia mobil bisa masuk gang n ada parkir mobilnya juga ya di dalam warungnya,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMtMmZLZUx3EAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIC-2fKeLw%7CCgwItbemmwYQsOqzkwI%7C?hl=id,https://www.google.com/maps/contrib/118170183302211211208?hl=id,5,5 bulan lalu,favorit nasi campur kuah santan kental rawon oke banget daging empal empuk parkir luas makan nyaman luas masuk gang tempat oia mobil masuk gang n parkir mobil ya warung
109,fajar d juniardi,food taste was great and delicious also with price for various slice of beef combine with inners deserved on plate it s valuable can say it cheap one thing i had to say it should be to encourage is recipients order had less of smile perhaps she s got exhausted caust we visit on sunday,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMtNGZmMzlnRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIC-4ff39gE%7CCgsInuWdmwYQ8On4CQ%7C?hl=id,https://www.google.com/maps/contrib/107056698399151776320?hl=id,5,5 bulan lalu,food taste great delicious also price various slice beef combine inners deserved plate valuable say cheap one thing say encourage recipients order less smile perhaps got exhausted caust visit sunday
110,Bam Aditya,nasi gule nya top markotob rekomen buat dicoba ,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMtNnZXV2RREAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIC-6vWWdQ%7CCgwI36GEmwYQqMm-5QE%7C?hl=id,https://www.google.com/maps/contrib/108352940893060108281?hl=id,4,5 bulan lalu,nasi gule nya top markotob rekomen coba
113,avi anto,nyaaamaaaan ongguuuh please try ,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMteU0yVEt3EAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIC-yM2TKw%7CCgwI0cfhmgYQuIuDpAI%7C?hl=id,https://www.google.com/maps/contrib/111696538839741671331?hl=id,5,5 bulan lalu,nyaaamaaaan ongguuuh please try
114,Ali Suhartono,menu nggak banyak tapi uenak banget,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUMtZ1BibU13EAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIC-gPbmMw%7CCgsIqpbYmgYQ2Lr4HQ%7C?hl=id,https://www.google.com/maps/contrib/107702698621203766451?hl=id,5,5 bulan lalu,menu nggak uenak banget
117,Hurun Iin,mantap sih ini,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURlZy1XREZ3EAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDeg-WDFw%7CCgwI1YO4mgYQ4O7GxQE%7C?hl=id,https://www.google.com/maps/contrib/104460481447218195476?hl=id,5,5 bulan lalu,mantap sih
118,Deddie Rachman,enak banget,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURldloyd0tBEAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDevZ2wKA%7CCgwI6vW1mgYQ8L-rzgE%7C?hl=id,https://www.google.com/maps/contrib/101104196525106673729?hl=id,5,5 bulan lalu,enak banget
119,Fuad Yustamiaji,khas madura bangett,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURlbmJpRUtREAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDenbiEKQ%7CCgwI19WzmgYQsOGemAM%7C?hl=id,https://www.google.com/maps/contrib/101913164300803270602?hl=id,4,6 bulan lalu,khas madura bangett
120,Lingga Kurniawan,maka enak pelaya cepaat juuooossss ,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURldGVISHNnRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDeteHHsgE%7CCgsI3dmtmgYQwMn0Yw%7C?hl=id,https://www.google.com/maps/contrib/110834047941751903897?hl=id,5,6 bulan lalu,enak pelaya cepaat juuooossss
121,Eva Albatul,enak murah dan bersih sekarang ada meeting room dengan fasilitas audio ac dan meja meeting bisa juga tambah jaja,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURlcHBlTGp3RRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDeppeLjwE%7CCgwIl46KmgYQoIuzigE%7C?hl=id,https://www.google.com/maps/contrib/105067728010036004510?hl=id,5,6 bulan lalu,enak murah bersih meeting room fasilitas audio ac meja meeting jaja
123,Arief Budi,rasa bintang harga bersahabat bisa melihat proses pembuatannya ada ruang vip rekomended,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ4X0lqbFl3EAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgID8_IjlYw%7CCgwI26P7mQYQqJjF8wI%7C?hl=id,https://www.google.com/maps/contrib/110930423761624605278?hl=id,5,6 bulan lalu,bintang harga sahabat proses buat ruang vip rekomended
125,puspita sari,cocok buat yang lagi bosen makan bebek menunya beragam dengan harga yang cukup terjangkau pelaya cepat tempat juga bersih dan enggak nyangka banget tempat seramai ini ada di dalam gang bukan dipinggir jalan kota kemarin pesan rawon tapi memang tidak punya ekspektasi tinggi sih karena rawon juga bukan maka khas madura disini rawonnya cenderung bening untuk empalnya empuk,Negatif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURlM05fZ0x3EAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDe3N_gLw%7CCgwIrazzmQYQiMvKhAM%7C?hl=id,https://www.google.com/maps/contrib/100434845229246542779?hl=id,4,6 bulan lalu,cocok bosen makan bebek menu agam harga jangkau pelaya cepat bersih nyangka banget serama gang pinggir jalan kota kemarin pesan rawon ekspektasi sih rawon khas madura rawon cenderung bening empal empuk
126,chandra amanda,masakan khas madura nasinya pas tidak keras seperti ditempat lain,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURlek9YMHJ3RRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDezOX0rwE%7CCgwIoorvmQYQ0ITlnAM%7C?hl=id,https://www.google.com/maps/contrib/107546118041108221992?hl=id,4,6 bulan lalu,masakan khas madura nasi pas keras tempat
128,Nirwan Rosyadi,menunya super mantap dengan harga bisa dibilang terjangkau,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURlOUtqa2VBEAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDe9KjkeA%7CCgwIiPTrmQYQyOCtsQI%7C?hl=id,https://www.google.com/maps/contrib/108504251332636544618?hl=id,5,6 bulan lalu,menu super mantap harga bilang jangkau
129,Romiyatul Fatlah,enak nih untuk makan siang salah satu tempat makan yg terkenal di madura,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURlMVBMU3V3RRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDe1PLSuwE%7CCgsIzJvqmQYQqJ3yJA%7C?hl=id,https://www.google.com/maps/contrib/115116309258583475447?hl=id,5,6 bulan lalu,enak nih makan siang salah makan yg kenal madura
130,Heru Budiarto,enak tempatnya nyaman,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURlbUlhYXBBRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDemIaapAE%7CCgwIkOHfmQYQsKKnnAM%7C?hl=id,https://www.google.com/maps/contrib/104637095343252787577?hl=id,5,6 bulan lalu,enak tempat nyaman
131,Lailatul Fitriyah,recommend,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURlNkxuSER3EAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDe6LnHDw%7CCgwIh9XemQYQ4PKJyAI%7C?hl=id,https://www.google.com/maps/contrib/112752420504036580340?hl=id,5,6 bulan lalu,recommend
132,bumi madura,harga tidak pernah bohong ,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURlb0ppMi1BRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDeoJi2-AE%7CCgwIyOXTmQYQqNKulgE%7C?hl=id,https://www.google.com/maps/contrib/107418596118629891682?hl=id,5,6 bulan lalu,harga bohong
133,Abdullah irfan,pertama kali nyoba kni dan luar biasa enak bgt,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURlZ09HWlR3EAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDegOGZTw%7CCgsIu97RmQYQsKi_Rg%7C?hl=id,https://www.google.com/maps/contrib/115997970612242816975?hl=id,5,6 bulan lalu,kali nyoba kni enak bgt
134,Ari Akbar,dabest mah nasi campur plus kuah rawon kesukan anak sayaaa,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNlcjlXbS1BRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICer9Wm-AE%7CCgwIj9XLmQYQuOnQ8gE%7C?hl=id,https://www.google.com/maps/contrib/112411766066477913082?hl=id,5,6 bulan lalu,dabest mah nasi campur plus kuah rawon sukan anak sayaaa
135,Maulana Kira84,mantab,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNlamZuUU9REAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICejfnQOQ%7CCgwIgoqnmQYQiI-nxgE%7C?hl=id,https://www.google.com/maps/contrib/101592839550265581947?hl=id,5,6 bulan lalu,mantab
136,Yusuf Kurniawan,rasa ga pernah bohong alhamdulillah terakhir kesini sebelum pandemi skrg tempatnya di renovasi bagus semua ,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNlMlpXSWJnEAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICe2ZWIbg%7CCgwI4KqbmQYQ-LqQzgE%7C?hl=id,https://www.google.com/maps/contrib/111318091668881973223?hl=id,5,6 bulan lalu,ga bohong alhamdulillah kesini pandemi skrg tempat renovasi bagus
138,Bung Fadil,the best lah ini,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNlbHZtZTZnRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICelvme6gE%7CCgsIgpGBmQYQyPKUZw%7C?hl=id,https://www.google.com/maps/contrib/113270392643218527991?hl=id,5,7 bulan lalu,best
141,Dian Andriani,enak pol tempatnya masuk gang tapi tempat parkir dan tempat makannya luas rata harganya rb semua menu enak lah wajib cobain pokoknya nagihh sekaramg sudah direnov jadi megah sudah gak terkesan warung tapi restoran bersih banyak wastafel dan toilet rapih okeh lah mantabb,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNXN01tQ3JRRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgICW7MmCrQE%7CCgsI3P-bmAYQuM3zJw%7C?hl=id,https://www.google.com/maps/contrib/117958724661151709312?hl=id,5,7 bulan lalu,enak pol tempat masuk gang parkir makan luas harga rb menu enak wajib cobain pokok nagihh sekaramg direnov megah gak kes warung restoran bersih wastafel toilet rapih okeh mantabb
142,Andhika Kurniawanto,sudah renovasi sejak terakhir kesini tempatnya semakin nyaman dengan parkir mobil yang semakin luas maka pastinya lezatos,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR1MFlyUkh3EAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDu0YrRHw%7CCgwInLWRmAYQgJLj1AI%7C?hl=id,https://www.google.com/maps/contrib/107535863572298838407?hl=id,5,7 bulan lalu,renovasi kesini tempat nyaman parkir mobil luas pasti lezatos
143,M.Anies Zuhrawardi,𝘎𝘶𝘭𝘢𝘪 𝘕𝘢𝘴𝘪 𝘊𝘢𝘮𝘱𝘶𝘳 𝘱𝘢𝘭𝘪𝘯𝘨 𝘵𝘰𝘱𝘱 ,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR1MW9hSGdRRRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDu1oaHgQE%7CCgsIw5mCmAYQ6NyLYg%7C?hl=id,https://www.google.com/maps/contrib/108825276526029021950?hl=id,5,7 bulan lalu,
144,Ilma Aliy Abdillah,untuk masakannya tidak di ragukan lg betul enak dan recomended keluarga di sidoarjo selalu nitip ini kalau saya pulang kesana,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR1bG9laUt3EAE!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDuloeiKw%7CCgwI88yBmAYQuKXh4wI%7C?hl=id,https://www.google.com/maps/contrib/103749574215317552614?hl=id,5,7 bulan lalu,masakan ragu lg enak recomended keluarga sidoarjo nitip pulang kesana
146,Mochammad Zamzam,tempat luas bersih makanya enak dgn harga wajar,Positif,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR1c3ZpNzF3RRAB!2m1!1s0x0:0x62c93d89c23e55aa!3m1!1s2@1:CIHM0ogKEICAgIDusvi71wE%7CCgwI0MvzlwYQyJuzigM%7C?hl=id,https://www.google.com/maps/contrib/114943551404372732270?hl=id,5,8 bulan lalu,luas bersih enak dgn harga wajar
